Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
4000	7171
5000	7160
6000	7158
7000	7170
8000	7154
9000	7165
10000	7174
11000	7177
12000	7162
13000	7176
14000	7176
15000	7169
16000	7161
17000	7137
18000	7150
19000	7131
20000	7149
21000	6587
22000	7154
23000	6958
24000	5624
25000	5416
26000	4607
27000	4412
28000	5280
29000	7168
30000	5467
31000	7199
32000	7199
33000	7198
34000	7199
Numero di step eseguiti = 34915
Simulation 45
0	7159
1000	7192
2000	7192
3000	7179
4000	7176
5000	7169
6000	7159
7000	7164
8000	7165
9000	7162
10000	7148
11000	7115
12000	7134
13000	7141
14000	7105
15000	7129
16000	7070
17000	7056
18000	7042
19000	7176
20000	6879
21000	7126
22000	6231
23000	6092
24000	5502
25000	5451
26000	5331
27000	5384
28000	4731
29000	7192
30000	6757
31000	3975
32000	3918
33000	4333
34000	3601
35000	3686
36000	2991
37000	2988
38000	2819
39000	2803
40000	2695
41000	2686
42000	2807
Numero di step eseguiti = 42591
Simulation 46
0	7152
1000	7188
2000	7187
3000	7178
4000	7173
5000	7180
6000	7180
7000	7177
8000	7176
9000	7158
10000	7159
11000	7159
12000	7172
13000	7163
14000	7141
15000	7161
16000	7175
17000	7146
18000	7151
19000	7187
20000	7171
21000	7185
22000	7009
23000	7035
24000	7028
25000	6707
26000	6406
27000	6125
28000	5668
29000	5296
30000	4678
31000	4605
32000	5769
33000	7196
34000	7198
35000	7199
36000	3729
37000	6997
38000	3930
39000	7199
40000	4750
41000	7147
42000	7199
43000	7198
44000	7199
Numero di step eseguiti = 44240
Simulation 47
0	7154
1000	7189
2000	7188
3000	7181
4000	7181
5000	7172
6000	7170
7000	7177
8000	7184
9000	7166
10000	7170
11000	7157
12000	7170
13000	7175
14000	7168
15000	7166
16000	7136
17000	7176
18000	7155
19000	7161
20000	7176
21000	7149
22000	7045
23000	7126
24000	7046
25000	7060
26000	7104
27000	7068
28000	6364
29000	5882
30000	5403
31000	5248
32000	4593
33000	4637
34000	3909
35000	3252
36000	4072
37000	4469
Numero di step eseguiti = 37227
Simulation 48
0	7155
1000	7194
2000	7188
3000	7182
4000	7182
5000	7177
6000	7176
7000	7161
8000	7138
9000	7172
10000	7178
11000	7153
12000	7170
13000	7145
14000	7167
15000	7158
16000	7169
17000	7161
18000	7128
19000	7060
20000	7003
21000	6849
22000	6637
23000	6669
24000	6995
25000	6110
26000	6010
27000	5540
28000	5278
29000	4882
30000	4509
31000	4170
32000	4289
33000	5822
Numero di step eseguiti = 33096
Simulation 49
0	7154
1000	7194
2000	7187
3000	7181
4000	7178
5000	7176
6000	7175
7000	7179
8000	7177
9000	7175
10000	7174
11000	7167
12000	7149
13000	7161
14000	7140
15000	7138
16000	7129
17000	7118
18000	7120
19000	7037
20000	7089
21000	6743
22000	6569
23000	6402
24000	6103
25000	5693
26000	5359
27000	5081
28000	4488
29000	4641
30000	3990
31000	3924
32000	3638
33000	3704
34000	3539
35000	3276
36000	3215
37000	3166
38000	2936
39000	2945
40000	2680
41000	2599
42000	2487
43000	2678
44000	2460
45000	3009
Numero di step eseguiti = 45843
Simulation 50
0	7156
1000	7193
2000	7185
3000	7181
4000	7182
5000	7173
6000	7183
7000	7166
8000	7170
9000	7172
10000	7150
11000	7156
12000	7162
13000	7155
14000	7151
15000	7174
16000	7166
17000	7178
18000	7156
19000	7157
20000	7182
21000	7166
22000	7128
23000	7177
24000	7053
25000	7097
26000	6889
27000	6834
28000	6563
29000	6065
30000	5413
31000	4908
32000	4385
33000	4217
34000	3870
35000	3750
36000	3602
37000	3412
38000	3448
Numero di step eseguiti = 38709
Simulation 51
0	7151
1000	7189
2000	7190
3000	7184
4000	7188
5000	7174
6000	7163
7000	7165
8000	7160
9000	7160
10000	7150
11000	7150
12000	7156
13000	7113
14000	7099
15000	7095
16000	7123
17000	7079
18000	7142
19000	6896
20000	6623
21000	6654
22000	6002
23000	5407
24000	5209
25000	4941
26000	4464
27000	3859
28000	3821
29000	3336
30000	3434
31000	3111
32000	2558
33000	2650
34000	2653
35000	2511
36000	2537
37000	2426
38000	3694
Numero di step eseguiti = 38136
Simulation 52
0	7157
1000	7198
2000	7188
3000	7188
4000	7180
5000	7173
6000	7171
7000	7169
8000	7168
9000	7186
10000	7175
11000	7177
12000	7180
13000	7157
14000	7173
15000	7170
16000	7185
17000	7166
18000	7123
19000	7089
20000	7136
21000	7159
22000	6977
23000	6291
24000	5327
25000	5084
26000	4963
27000	5153
28000	4112
29000	3646
Numero di step eseguiti = 29398
Simulation 53
0	7146
1000	7188
2000	7195
3000	7188
4000	7177
5000	7184
6000	7182
7000	7186
8000	7180
9000	7184
10000	7173
11000	7167
12000	7149
13000	7148
14000	7155
15000	7172
16000	7137
17000	7111
18000	7125
19000	7093
20000	7094
21000	6669
22000	6584
23000	6233
24000	5547
25000	5209
26000	4762
27000	4517
28000	3851
29000	3974
30000	6996
31000	7199
Numero di step eseguiti = 31618
Simulation 54
0	7158
1000	7187
2000	7187
3000	7191
4000	7184
5000	7186
6000	7177
7000	7167
8000	7143
9000	7168
10000	7156
11000	7127
12000	7142
13000	7147
14000	7153
15000	7115
16000	7159
17000	7136
18000	7121
19000	7122
20000	7106
21000	7091
22000	7067
23000	6761
24000	6656
25000	6630
26000	5980
27000	5701
28000	5162
29000	4674
30000	4334
31000	3678
32000	3836
33000	6279
Numero di step eseguiti = 33107
Simulation 55
0	7153
1000	7186
2000	7183
3000	7181
4000	7188
5000	7183
6000	7184
7000	7176
8000	7167
9000	7172
10000	7167
11000	7152
12000	7168
13000	7163
14000	7150
15000	7171
16000	7159
17000	7155
18000	7083
19000	7036
20000	7017
21000	6812
22000	6620
23000	6371
24000	6132
25000	5348
26000	4660
27000	4378
28000	4096
29000	3715
30000	3568
31000	3155
32000	3237
33000	7199
34000	5681
35000	7098
36000	6477
Numero di step eseguiti = 36091
Simulation 56
0	7164
1000	7190
2000	7191
3000	7185
4000	7184
5000	7180
6000	7171
7000	7173
8000	7170
9000	7156
10000	7133
11000	7161
12000	7160
13000	7151
14000	7165
15000	7120
16000	7127
17000	7155
18000	6675
19000	6448
20000	6257
21000	6023
22000	5250
23000	5169
24000	4785
25000	4467
26000	4041
27000	3745
28000	3627
Numero di step eseguiti = 28895
Simulation 57
0	7156
1000	7189
2000	7183
3000	7174
4000	7172
5000	7174
6000	7176
7000	7165
8000	7164
9000	7172
10000	7178
11000	7147
12000	7146
13000	7131
14000	7109
15000	7155
16000	7133
17000	7155
18000	7110
19000	6931
20000	6466
21000	6310
22000	7182
23000	7185
24000	5382
25000	5096
26000	4902
27000	5775
28000	7199
29000	6984
30000	5044
31000	4995
32000	6342
33000	5897
34000	6178
35000	7197
36000	6988
37000	7197
38000	7197
39000	6493
40000	7198
41000	7199
42000	7198
Numero di step eseguiti = 42368
Simulation 58
0	7146
1000	7190
2000	7179
3000	7179
4000	7175
5000	7180
6000	7177
7000	7157
8000	7151
9000	7151
10000	7139
11000	7148
12000	7167
13000	7142
14000	7135
15000	7153
16000	7140
17000	7151
18000	7140
19000	7177
20000	7161
21000	7140
22000	7165
23000	7017
24000	6638
25000	6571
26000	6002
27000	5243
28000	4768
29000	4365
30000	5272
31000	3642
32000	7199
33000	7198
34000	7198
35000	5478
36000	5041
37000	4813
Numero di step eseguiti = 37266
Simulation 59
0	7159
1000	7180
2000	7183
3000	7183
4000	7181
5000	7182
6000	7168
7000	7159
8000	7167
9000	7158
10000	7153
11000	7156
12000	7142
13000	7152
14000	7128
15000	7121
16000	7146
17000	7113
18000	7150
19000	7139
20000	7141
21000	7144
22000	7065
23000	7043
24000	6926
25000	6954
26000	7036
27000	6051
28000	5688
