Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 0
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 100
Simulation 1
36000	7199
37000	7199
38000	7199
39000	3909
Numero di step eseguiti = 39480
Simulation 66
0	6984
1000	7120
2000	7131
3000	7079
4000	7052
5000	7004
6000	7041
7000	6983
8000	6836
9000	6831
10000	6732
11000	6317
12000	6079
13000	5943
14000	5232
15000	4441
16000	3733
17000	3629
18000	3545
19000	3241
20000	3205
21000	2730
22000	2920
23000	2646
24000	2586
25000	2628
26000	2698
27000	2526
28000	2670
29000	3016
30000	6510
Numero di step eseguiti = 30024
Simulation 67
0	6971
1000	7097
2000	7032
3000	7046
4000	6904
5000	6855
6000	6581
7000	6222
8000	5831
9000	6034
10000	5274
11000	5187
12000	4536
13000	4210
14000	4188
15000	3744
16000	4144
17000	3279
18000	7199
19000	6087
Numero di step eseguiti = 19665
Simulation 68
0	6987
1000	7136
2000	7071
3000	7069
4000	7036
5000	7036
6000	7046
7000	7059
8000	7051
9000	6920
10000	6148
11000	5768
12000	5228
13000	3964
14000	3987
15000	3886
16000	4149
17000	3402
18000	3819
19000	3473
20000	4002
21000	4505
Numero di step eseguiti = 21489
Simulation 69
0	6977
1000	7104
2000	7058
3000	7064
4000	7029
5000	7046
6000	7046
7000	7033
8000	6964
9000	6892
10000	6585
11000	6402
12000	6330
13000	5875
14000	5413
15000	5169
16000	4699
17000	3703
18000	3765
19000	3493
20000	3254
21000	2909
22000	6508
Numero di step eseguiti = 22068
Simulation 70
0	6999
1000	7127
2000	7102
3000	7075
4000	7088
5000	7049
6000	6972
7000	7002
8000	6919
9000	6994
10000	6900
11000	5759
12000	5200
13000	5532
14000	6580
15000	7194
16000	7197
17000	7199
18000	7134
19000	7186
20000	7199
21000	7199
22000	7199
23000	7199
24000	7199
Numero di step eseguiti = 24603
Simulation 71
0	6962
1000	7135
2000	7107
3000	7071
4000	7090
5000	7022
6000	6935
7000	6897
8000	6824
9000	6645
10000	6183
11000	5542
12000	4685
13000	4211
14000	3626
15000	3403
16000	2946
17000	2824
18000	2567
19000	2473
20000	2328
21000	2397
22000	2337
23000	2552
24000	2691
Numero di step eseguiti = 24970
Simulation 72
0	6987
1000	7122
2000	7096
3000	7085
4000	7072
5000	7031
6000	7013
7000	6953
8000	6965
9000	7018
10000	7019
11000	6979
12000	6869
13000	6662
14000	5603
15000	5045
16000	4750
17000	4002
18000	3685
19000	3326
20000	3179
21000	2950
22000	2792
23000	4745
Numero di step eseguiti = 23317
Simulation 73
0	6981
1000	7113
2000	7096
3000	7087
4000	7113
5000	7013
6000	6992
7000	6998
8000	6998
9000	6876
10000	6776
11000	6449
12000	6152
13000	5241
14000	4870
15000	4567
16000	3809
17000	3877
18000	3624
19000	3140
20000	3430
21000	3902
Numero di step eseguiti = 21603
Simulation 74
0	7006
1000	7108
2000	7106
3000	7069
4000	7057
5000	7009
6000	6962
7000	6878
8000	6887
9000	6416
10000	6152
11000	5058
12000	4778
13000	4600
14000	4058
15000	3952
16000	3407
17000	3324
18000	3366
19000	3124
20000	2977
21000	2817
22000	2700
23000	2677
24000	2489
25000	2457
Numero di step eseguiti = 25794
Simulation 75
0	6981
1000	7123
2000	7070
3000	7039
4000	6979
5000	6993
6000	6940
7000	6900
8000	6780
9000	6632
10000	6264
11000	5852
12000	5367
13000	5097
14000	4728
15000	4467
16000	3834
17000	3433
18000	6397
19000	7198
20000	7199
21000	7199
22000	7197
Numero di step eseguiti = 22279
Simulation 76
0	7007
1000	7122
2000	7116
3000	7081
4000	7044
5000	6969
6000	6936
7000	6918
8000	6979
9000	6522
10000	5992
11000	5716
12000	5666
13000	5430
14000	5149
15000	7030
16000	7184
17000	6153
18000	4008
19000	3418
20000	3252
21000	3376
22000	4317
Numero di step eseguiti = 22860
Simulation 77
0	6976
1000	7124
2000	7089
3000	7069
4000	7094
5000	7059
6000	7033
7000	7083
8000	7074
9000	6951
10000	6823
11000	6622
12000	6076
13000	5484
14000	4874
15000	4647
16000	3833
17000	3742
18000	3258
19000	2981
20000	2800
21000	2575
22000	2634
23000	2577
24000	2734
25000	4250
26000	5930
Numero di step eseguiti = 26036
Simulation 78
0	6985
1000	7096
2000	7077
3000	7057
4000	7067
5000	7050
6000	7006
7000	7011
8000	7038
9000	6950
10000	6989
11000	7032
12000	6977
